iter	Passed	Remaining
1323	2278	14933
1324	2280	14930
1325	2282	14927
1326	2283	14925
1327	2285	14923
1328	2286	14920
1329	2288	14917
1330	2289	14915
1331	2291	14912
1332	2293	14909
1333	2294	14907
1334	2296	14904
1335	2297	14902
1336	2299	14900
1337	2301	14896
1338	2302	14892
1339	2303	14889
1340	2305	14887
1341	2307	14885
1342	2309	14886
1343	2311	14885
1344	2313	14885
1345	2314	14884
1346	2316	14881
1347	2317	14877
1348	2319	14874
1349	2321	14871
1350	2322	14869
1351	2324	14868
1352	2326	14869
1353	2328	14868
1354	2329	14865
1355	2331	14861
1356	2332	14859
1357	2334	14855
1358	2335	14852
1359	2337	14850
1360	2339	14847
1361	2340	14845
1362	2342	14843
1363	2344	14841
1364	2345	14838
1365	2347	14837
1366	2348	14834
1367	2350	14832
1368	2352	14830
1369	2353	14827
1370	2355	14824
1371	2356	14821
1372	2358	14818
1373	2360	14816
1374	2361	14813
1375	2363	14810
1376	2364	14808
1377	2366	14805
1378	2367	14803
1379	2369	14800
1380	2371	14798
1381	2372	14795
1382	2374	14792
1383	2375	14789
1384	2377	14787
1385	2378	14785
1386	2380	14783
1387	2382	14781
1388	2384	14779
1389	2385	14777
1390	2387	14774
1391	2388	14772
1392	2390	14771
1393	2392	14768
1394	2393	14766
1395	2395	14764
1396	2397	14762
1397	2398	14759
1398	2400	14757
1399	2401	14754
1400	2403	14751
1401	2405	14750
1402	2406	14747
1403	2408	14744
1404	2409	14742
1405	2411	14739
1406	2413	14737
1407	2414	14735
1408	2416	14732
1409	2417	14729
1410	2419	14725
1411	2420	14722
1412	2422	14721
1413	2424	14720
1414	2425	14717
1415	2427	14715
1416	2429	14712
1417	2430	14710
1418	2432	14709
1419	2433	14706
1420	2435	14704
1421	2437	14701
1422	2438	14698
1423	2440	14697
1424	2441	14694
1425	2443	14691
1426	2445	14689
1427	2446	14686
1428	2448	14683
1429	2449	14681
1430	2451	14678
1431	2452	14675
1432	2454	14672
1433	2456	14671
1434	2457	14668
1435	2459	14665
1436	2460	14663
1437	2462	14660
1438	2463	14657
1439	2465	14654
1440	2466	14652
1441	2468	14651
1442	2470	14649
1443	2471	14646
1444	2473	14645
1445	2475	14642
1446	2476	14640
1447	2478	14637
1448	2480	14635
1449	2481	14632
1450	2483	14629
1451	2484	14627
1452	2486	14624
1453	2487	14621
1454	2489	14619
1455	2490	14616
1456	2492	14614
1457	2493	14610
1458	2495	14608
1459	2497	14605
1460	2498	14603
1461	2500	14600
1462	2501	14597
1463	2503	14595
1464	2504	14592
1465	2506	14589
1466	2507	14586
1467	2509	14583
1468	2510	14580
1469	2512	14579
1470	2514	14577
1471	2515	14574
1472	2517	14572
1473	2519	14575
1474	2521	14573
1475	2523	14571
1476	2524	14569
1477	2526	14567
1478	2528	14566
1479	2530	14565
1480	2532	14565
1481	2533	14564
1482	2535	14562
1483	2537	14560
1484	2539	14558
1485	2540	14557
1486	2542	14555
1487	2543	14552
1488	2545	14550
1489	2547	14547
1490	2548	14544
1491	2550	14542
1492	2551	14539
1493	2553	14537
1494	2555	14536
1495	2556	14533
1496	2558	14531
1497	2559	14528
1498	2561	14525
1499	2562	14523
1500	2564	14521
1501	2566	14518
1502	2567	14515
1503	2569	14513
1504	2570	14511
1505	2572	14508
1506	2573	14506
1507	2575	14503
1508	2577	14501
1509	2578	14498
1510	2580	14497
1511	2581	14494
1512	2583	14491
1513	2585	14488
1514	2586	14486
1515	2588	14483
1516	2589	14480
1517	2591	14478
1518	2592	14477
1519	2594	14475
1520	2596	14474
1521	2598	14471
1522	2599	14470
1523	2601	14468
1524	2602	14465
1525	2604	14463
1526	2606	14460
1527	2607	14458
1528	2609	14455
1529	2610	14453
1530	2612	14450
1531	2613	14448
1532	2615	14445
1533	2617	14444
1534	2618	14441
1535	2620	14438
1536	2621	14435
1537	2623	14432
1538	2624	14430
1539	2626	14427
1540	2627	14425
1541	2629	14422
1542	2631	14420
1543	2632	14417
1544	2634	14415
1545	2636	14414
1546	2637	14412
1547	2639	14409
1548	2640	14407
1549	2642	14405
1550	2644	14404
1551	2645	14401
1552	2647	14399
1553	2648	14396
1554	2650	14395
1555	2652	14392
1556	2653	14390
1557	2655	14387
1558	2656	14385
1559	2658	14383
1560	2660	14382
1561	2661	14379
1562	2663	14377
1563	2665	14375
1564	2666	14373
1565	2668	14370
1566	2670	14369
1567	2671	14366
1568	2673	14366
1569	2675	14364
1570	2677	14363
1571	2678	14360
1572	2680	14358
1573	2681	14356
1574	2683	14353
1575	2685	14356
1576	2687	14354
1577	2689	14352
1578	2690	14350
1579	2692	14348
1580	2694	14345
1581	2695	14343
1582	2697	14340
1583	2698	14338
1584	2700	14336
1585	2701	14334
1586	2703	14331
1587	2705	14331
1588	2707	14329
1589	2708	14327
1590	2710	14325
1591	2711	14323
1592	2713	14320
1593	2715	14317
1594	2716	14315
1595	2718	14315
1596	2720	14312
1597	2721	14310
1598	2723	14308
1599	2725	14306
1600	2726	14303
1601	2728	14301
1602	2729	14298
1603	2731	14296
1604	2732	14294
1605	2734	14291
1606	2736	14291
1607	2738	14289
1608	2739	14287
1609	2741	14284
1610	2742	14281
1611	2744	14279
1612	2746	14278
1613	2747	14276
1614	2749	14274
1615	2750	14271
1616	2752	14269
1617	2753	14266
1618	2755	14264
1619	2757	14262
1620	2758	14261
1621	2760	14259
1622	2762	14256
1623	2763	14254
1624	2765	14251
1625	2767	14250
1626	2768	14249
1627	2770	14248
1628	2773	14252
1629	2775	14250
1630	2776	14248
1631	2778	14245
1632	2779	14243
1633	2781	14240
1634	2782	14238
1635	2784	14235
1636	2786	14233
1637	2787	14230
1638	2789	14229
1639	2790	14226
1640	2792	14224
1641	2793	14221
1642	2795	14218
1643	2796	14216
1644	2798	14213
1645	2800	14211
1646	2801	14209
1647	2803	14207
1648	2804	14204
1649	2806	14202
1650	2808	14200
1651	2809	14199
1652	2811	14197
1653	2813	14195
1654	2814	14193
1655	2816	14191
1656	2820	14199
1657	2822	14199
1658	2823	14197
1659	2825	14196
1660	2827	14194
1661	2828	14192
1662	2830	14190
1663	2832	14188
1664	2833	14186
1665	2836	14187
1666	2838	14188
1667	2840	14186
1668	2842	14186
1669	2843	14184
1670	2845	14182
1671	2846	14180
1672	2848	14178
1673	2850	14175
1674	2851	14173
1675	2853	14172
1676	2855	14169
1677	2856	14167
1678	2858	14165
1679	2860	14164
1680	2861	14162
1681	2863	14161
1682	2865	14159
1683	2867	14158
1684	2868	14157
1685	2870	14155
1686	2872	14153
1687	2874	14153
1688	2875	14151
1689	2879	14158
1690	2881	14156
1691	2883	14159
1692	2885	14157
1693	2886	14155
1694	2888	14153
1695	2890	14151
1696	2891	14149
1697	2894	14150
1698	2895	14148
1699	2897	14147
1700	2899	14147
1701	2901	14146
1702	2903	14144
1703	2904	14141
1704	2906	14139
1705	2907	14137
1706	2909	14135
1707	2911	14136
1708	2913	14134
1709	2915	14134
1710	2917	14134
1711	2919	14134
1712	2921	14133
1713	2923	14132
1714	2924	14130
1715	2926	14128
1716	2928	14126
1717	2929	14124
1718	2931	14122
1719	2933	14121
1720	2935	14121
1721	2937	14120
